,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,红球_7,红球_8,红球_9,红球_10,红球_11,红球_12,红球_13,红球_14,红球_15,红球_16,红球_17,红球_18,红球_19,红球_20
79,2025191,4,5,8,14,22,27,41,44,45,46,52,53,56,57,59,60,71,78,79,80
80,2025190,1,3,4,6,20,21,34,35,39,41,46,47,50,53,55,56,65,66,70,79
81,2025189,10,22,26,32,34,38,43,44,50,52,55,57,58,66,69,71,72,73,76,79
82,2025188,2,6,8,10,11,15,22,28,29,30,36,38,40,46,48,58,64,70,74,77
83,2025187,1,6,12,15,25,26,28,29,30,31,32,33,34,36,47,50,55,61,73,77
84,2025186,1,4,5,13,17,19,25,26,31,36,50,51,55,56,61,63,64,71,73,77
85,2025185,2,5,7,13,18,25,27,30,33,35,39,40,46,48,50,56,63,65,74,76
86,2025184,6,18,20,22,25,32,33,35,41,43,52,55,57,65,67,68,70,72,73,75
87,2025183,1,3,5,12,15,16,18,29,30,38,41,45,47,52,53,54,57,58,63,66
88,2025182,1,4,7,8,11,17,24,30,31,35,45,49,54,59,60,73,75,76,77,80
89,2025181,2,3,8,10,12,13,19,26,32,38,39,43,46,48,53,55,69,76,78,80
90,2025180,1,8,10,11,14,20,22,25,29,38,43,47,50,54,59,60,65,66,74,80
91,2025179,11,12,13,14,16,21,22,25,26,40,45,51,55,56,58,65,67,69,72,76
92,2025178,3,4,13,20,25,27,34,36,38,39,41,42,52,54,55,64,67,77,78,79
93,2025177,2,3,5,6,9,26,32,33,34,35,36,39,46,49,59,65,69,72,76,80
94,2025176,1,2,15,19,24,25,26,29,40,41,47,48,51,56,57,66,68,71,72,78
95,2025175,1,3,9,10,15,16,20,25,30,31,37,48,50,51,54,55,60,64,68,75
96,2025174,3,4,5,12,18,19,27,37,38,39,46,48,49,59,60,62,63,75,77,78
97,2025173,1,7,13,17,22,23,38,40,41,45,46,52,53,60,66,68,69,70,71,78
98,2025172,3,8,12,15,18,23,26,33,34,35,44,45,51,52,54,55,56,68,70,74
99,2025171,1,9,16,20,21,25,27,30,32,36,37,38,40,50,52,57,66,68,75,79
100,2025170,7,9,12,13,16,19,20,21,23,31,40,42,47,52,58,62,65,66,76,80
101,2025169,3,6,13,14,17,19,23,28,34,38,41,43,47,55,58,62,70,73,74,80
102,2025168,12,13,14,24,26,27,28,29,31,37,38,46,47,48,60,64,71,74,76,78
103,2025167,7,13,20,22,27,29,30,33,34,35,36,47,63,68,70,71,72,74,75,80
104,2025166,1,4,13,16,18,22,26,28,33,34,48,49,50,51,52,54,56,66,72,73
105,2025165,3,6,8,18,19,25,29,30,31,32,37,39,40,42,44,55,63,66,69,77
106,2025164,6,13,16,22,23,26,27,31,34,40,41,57,60,67,68,70,71,76,79,80
107,2025163,3,4,7,8,19,26,31,38,39,45,51,53,56,57,59,65,68,71,74,78
108,2025162,1,2,3,8,11,13,15,20,26,29,35,37,46,49,59,60,61,64,66,71
109,2025161,8,11,14,21,28,29,35,37,41,42,44,47,50,55,56,59,69,73,75,80
110,2025160,1,4,17,19,26,27,31,35,42,45,46,47,52,57,60,61,67,69,72,80
111,2025159,11,15,17,25,27,30,31,32,36,37,41,47,50,55,60,62,65,69,71,80
112,2025158,12,13,14,22,23,28,33,36,42,43,47,51,54,55,62,65,71,72,79,80
113,2025157,7,9,16,20,25,27,28,30,31,43,49,51,52,56,58,60,61,62,73,76
114,2025156,1,3,5,8,12,13,18,19,26,28,29,32,38,50,60,68,73,75,76,80
115,2025155,7,10,12,18,27,32,34,42,46,47,48,54,58,59,61,63,73,74,75,76
116,2025154,3,4,5,6,13,14,15,16,22,30,31,33,36,46,53,57,61,66,67,76
117,2025153,1,8,10,16,19,25,27,32,36,39,42,44,46,47,50,54,55,75,76,79
118,2025152,2,3,5,11,19,22,34,35,40,46,50,51,52,55,61,63,68,72,78,80
119,2025151,4,10,12,16,19,23,27,29,31,34,43,44,49,50,54,63,65,68,77,80
120,2025150,2,5,9,11,14,16,21,24,26,28,30,38,42,52,56,61,62,70,71,74
121,2025149,1,2,3,9,15,20,24,25,28,31,32,34,35,48,58,62,64,67,70,74
122,2025148,1,4,5,7,9,11,15,16,20,21,24,27,32,43,48,52,59,64,70,71
123,2025147,6,13,21,27,29,31,32,39,43,47,51,52,53,58,61,67,69,72,79,80
124,2025146,10,12,17,22,28,33,34,41,46,50,52,60,62,63,64,65,71,73,75,79
125,2025145,4,10,28,29,31,37,39,40,43,45,52,56,58,59,61,65,68,69,70,77
126,2025144,3,5,6,8,14,17,20,21,25,26,31,32,34,36,51,52,55,57,60,67
127,2025143,1,3,12,15,16,18,23,31,35,47,49,52,56,57,58,62,63,67,75,79
128,2025142,5,6,7,12,14,19,24,25,28,33,34,35,45,47,50,56,60,66,73,79
129,2025141,9,11,12,13,14,15,16,20,21,28,29,34,39,40,43,45,48,59,67,68
130,2025140,2,7,8,14,16,19,26,29,31,34,38,41,42,44,49,54,56,59,60,78
131,2025139,5,9,11,16,24,26,27,32,33,38,43,44,45,54,58,61,62,68,69,71
132,2025138,1,6,8,10,14,17,19,21,23,26,29,34,40,43,56,57,58,65,70,77
133,2025137,2,8,10,18,20,23,25,27,34,37,39,42,52,59,68,70,72,73,74,80
134,2025136,3,8,9,11,12,16,17,19,26,40,43,46,60,64,65,67,68,74,77,78
135,2025135,5,7,10,21,22,26,30,35,38,41,42,44,47,52,61,67,70,71,75,79
136,2025134,7,12,14,22,23,28,29,34,39,43,49,50,51,52,55,57,58,61,64,73
137,2025133,2,3,7,14,15,16,21,22,23,29,42,46,48,52,55,58,65,68,79,80
138,2025132,11,13,14,22,29,34,37,39,42,43,46,47,50,55,58,61,62,65,66,70
139,2025131,2,5,14,18,20,29,33,34,36,41,43,45,48,50,51,58,62,64,74,76
140,2025130,1,5,9,19,21,22,24,26,34,36,41,46,47,48,49,50,52,62,68,75
141,2025129,2,5,14,15,19,23,24,30,39,42,44,48,55,59,64,65,66,68,69,80
142,2025128,1,2,4,9,10,14,15,17,19,24,25,37,39,46,50,53,60,63,76,80
143,2025127,7,13,16,19,22,30,34,35,38,39,40,46,47,50,52,56,58,62,67,71
144,2025126,1,7,11,15,21,29,34,36,44,45,46,53,56,63,65,69,72,73,75,79
145,2025125,4,5,6,12,18,19,21,30,33,42,44,45,49,52,53,64,71,73,78,80
146,2025124,11,12,13,15,21,23,31,34,35,39,42,48,52,53,56,58,59,62,69,80
147,2025123,1,13,15,20,21,35,37,42,44,50,51,58,63,64,65,69,70,73,75,77
148,2025122,6,7,8,11,12,17,20,23,27,28,30,32,34,35,37,47,61,68,75,78
149,2025121,1,2,5,9,19,21,32,39,41,42,44,45,56,57,62,68,73,74,77,80
150,2025120,5,15,18,25,26,28,32,33,36,38,42,44,45,48,52,53,63,65,70,73
151,2025119,2,4,5,9,12,21,22,25,29,36,42,44,51,52,54,55,74,75,76,77
152,2025118,1,2,6,12,14,15,17,20,22,27,33,35,36,48,50,53,54,68,75,77
153,2025117,4,6,10,11,15,18,20,23,30,38,40,42,54,56,57,60,69,71,74,79
154,2025116,1,5,7,8,11,14,15,20,21,22,35,41,43,49,57,59,60,65,73,80
155,2025115,2,5,8,9,12,21,26,35,37,39,40,41,44,47,48,49,67,72,77,78
156,2025114,6,8,13,16,21,23,47,48,50,51,54,57,58,63,68,69,70,78,79,80
157,2025113,2,7,12,14,19,27,45,48,50,51,53,56,59,61,64,65,67,73,74,78
158,2025112,3,8,10,15,16,19,20,24,38,46,49,52,55,63,65,71,75,76,79,80
159,2025111,1,3,11,12,13,14,15,22,31,36,38,45,46,55,58,65,70,71,73,74
160,2025110,1,2,9,13,18,21,22,24,25,27,33,34,50,53,54,57,66,67,71,74
161,2025109,1,2,5,7,17,28,30,31,32,40,46,47,52,56,57,67,68,73,75,79
162,2025108,4,9,10,15,23,25,27,29,33,36,40,42,44,50,52,53,60,65,72,74
163,2025107,7,14,22,31,34,35,36,38,42,44,48,53,54,56,63,69,70,75,77,78
164,2025106,6,10,21,23,29,32,36,37,42,44,50,53,56,57,62,63,67,70,71,77
165,2025105,1,4,8,10,14,25,27,29,32,33,34,40,45,47,54,56,58,61,68,69
166,2025104,6,7,10,16,35,38,39,42,49,51,52,53,56,57,58,64,69,70,71,72
167,2025103,3,5,7,14,22,25,28,29,33,34,35,36,37,39,45,55,59,70,71,76
168,2025102,5,6,7,11,16,18,20,23,28,38,40,42,46,47,55,58,59,64,65,70
169,2025101,1,7,18,23,27,29,30,35,48,51,55,57,59,62,64,65,66,73,75,79
170,2025100,1,3,4,6,7,13,28,33,35,37,39,50,59,63,64,65,68,69,71,79
171,2025099,12,14,19,20,21,28,34,35,36,41,47,52,55,62,65,67,71,76,77,78
172,2025098,1,6,8,11,13,15,16,20,29,35,50,54,56,59,60,63,66,68,77,79
173,2025097,1,5,7,9,12,13,25,33,34,37,41,53,56,59,60,68,70,73,76,80
174,2025096,2,10,12,20,21,26,30,32,39,40,44,46,48,54,56,67,69,72,77,80
175,2025095,5,7,10,19,24,26,29,30,32,43,47,60,61,63,66,67,71,75,77,80
176,2025094,4,10,12,13,16,18,19,27,28,36,46,51,58,63,64,65,67,69,70,79
177,2025093,5,6,11,14,17,20,21,28,29,30,39,40,48,55,58,65,66,68,69,74
178,2025092,1,2,3,5,11,28,32,37,41,46,52,54,55,58,64,71,72,76,79,80
179,2025091,3,4,7,12,23,24,26,28,30,31,33,38,39,45,52,53,59,69,74,76
180,2025090,1,3,4,8,23,26,27,34,41,46,49,53,58,64,65,67,68,74,76,79
181,2025089,2,5,8,11,12,13,16,28,30,31,34,35,44,47,50,57,58,59,65,69
182,2025088,3,4,5,7,10,18,20,24,25,36,45,47,50,53,57,63,65,70,71,75
183,2025087,1,7,8,12,14,15,19,23,25,28,35,42,54,56,58,65,68,70,73,80
184,2025086,1,5,6,12,19,33,35,37,39,44,45,48,49,51,52,53,59,68,71,80
185,2025085,2,3,5,16,18,19,32,33,35,36,37,46,47,50,56,57,60,65,68,76
186,2025084,1,6,9,13,15,24,28,30,34,38,40,43,44,48,51,57,60,70,73,75
187,2025083,2,6,8,13,18,19,22,29,43,44,47,51,56,61,63,67,71,75,77,79
188,2025082,2,5,11,25,31,34,35,42,45,46,49,51,56,58,59,71,72,75,76,78
189,2025081,1,2,5,7,10,16,20,23,41,47,48,52,53,54,63,64,71,76,78,79
190,2025080,3,5,7,9,23,25,37,39,45,54,55,56,65,67,68,69,71,72,79,80
191,2025079,3,4,13,14,15,18,20,23,24,27,28,40,48,53,59,60,68,69,70,73
192,2025078,2,5,10,16,18,19,20,22,25,33,35,38,40,54,59,62,64,73,78,80
193,2025077,1,4,7,10,13,14,16,17,21,23,35,36,43,45,47,51,53,61,69,80
194,2025076,3,10,11,16,18,21,27,28,30,35,40,43,46,47,50,54,62,66,68,72
195,2025075,4,9,12,13,20,23,25,29,38,41,45,48,50,51,53,54,55,62,68,80
196,2025074,1,2,3,4,10,13,23,24,33,34,36,50,53,54,55,60,62,67,77,79
197,2025073,2,7,9,18,20,22,23,27,32,42,48,51,53,57,58,61,65,68,75,79
198,2025072,1,6,14,25,26,32,33,35,39,40,41,46,48,49,53,54,68,72,74,78
199,2025071,1,8,9,13,14,15,17,25,34,36,48,49,52,57,60,61,62,68,74,77
200,2025070,3,4,5,9,12,20,21,26,29,33,41,55,63,65,67,72,73,74,76,80
201,2025069,5,12,13,14,20,25,31,38,41,44,61,62,63,64,68,74,75,77,78,79
202,2025068,1,3,4,7,9,12,13,18,26,27,32,40,45,50,53,67,73,74,75,79
203,2025067,2,5,23,27,29,34,35,42,45,46,48,52,53,63,64,65,66,72,74,76
204,2025066,1,12,20,21,23,24,26,29,36,37,42,45,46,51,57,58,64,68,70,74
205,2025065,1,2,5,14,16,17,20,24,29,30,35,37,38,43,48,52,58,63,72,79
206,2025064,2,8,16,19,22,24,25,29,30,32,37,39,47,50,51,58,74,76,77,79
207,2025063,2,6,7,8,13,14,18,21,37,46,47,51,54,58,59,60,63,66,67,75
208,2025062,2,4,7,10,14,19,22,24,28,33,34,35,37,39,48,53,59,62,66,68
209,2025061,3,9,10,14,23,27,34,38,39,45,50,59,63,65,70,71,72,75,76,77
210,2025060,3,7,9,11,15,16,22,24,28,34,44,47,48,51,52,70,71,73,76,78
211,2025059,2,3,4,9,17,23,27,31,33,36,37,39,42,43,49,51,55,60,74,80
212,2025058,5,7,12,17,19,23,25,26,29,38,40,45,48,53,60,64,67,69,70,79
213,2025057,2,4,6,9,13,15,18,19,20,21,28,35,48,53,54,70,72,74,75,78
214,2025056,2,8,11,12,13,15,16,20,27,32,34,39,45,47,54,55,56,71,77,79
215,2025055,5,6,7,18,19,20,31,34,35,37,43,44,50,52,56,59,61,63,77,78
216,2025054,2,7,13,20,28,39,41,43,46,49,51,56,59,60,68,73,74,77,79,80
217,2025053,1,2,4,6,8,9,18,22,30,33,36,43,49,53,55,58,61,67,69,76
218,2025052,2,6,8,9,11,15,20,22,23,26,30,35,39,43,57,58,60,64,67,77
219,2025051,2,5,6,17,18,19,24,25,26,28,31,37,39,53,58,64,65,71,78,80
220,2025050,4,10,15,17,20,23,30,31,45,46,47,53,54,57,60,70,72,74,76,77
221,2025049,3,11,15,16,20,21,24,27,28,35,42,43,44,46,53,55,57,58,66,72
222,2025048,11,12,15,20,21,28,31,32,37,39,42,44,51,55,57,66,71,73,77,79
223,2025047,2,3,13,14,20,25,27,36,37,43,47,48,51,55,58,66,71,74,76,79
224,2025046,2,11,20,30,32,36,37,39,41,45,48,51,54,61,65,68,70,73,75,76
225,2025045,9,10,15,23,25,29,30,33,34,35,40,49,53,57,64,72,73,78,79,80
226,2025044,3,6,15,18,19,31,37,40,45,46,52,54,57,60,63,66,72,74,75,80
227,2025043,2,3,5,7,9,16,22,27,29,31,33,35,43,52,59,60,61,67,70,72
228,2025042,1,2,10,19,25,27,40,41,44,48,51,57,58,59,61,62,70,71,73,74
229,2025041,5,10,12,19,26,28,38,39,41,47,49,50,53,56,62,67,71,74,75,78
230,2025040,11,19,28,31,33,35,38,40,45,52,53,58,59,61,64,69,72,76,78,79
231,2025039,1,4,8,10,13,14,25,26,29,34,36,37,41,44,52,59,60,69,74,77
232,2025038,2,8,9,11,13,14,17,18,20,22,24,34,48,64,68,69,73,77,78,80
233,2025037,6,9,18,26,30,32,34,35,41,42,54,62,66,68,69,70,71,72,73,80
234,2025036,4,6,18,21,23,24,26,33,40,42,43,47,49,53,63,64,65,67,71,78
235,2025035,1,9,19,20,21,25,26,28,30,48,49,54,56,57,61,65,71,72,75,77
236,2025034,1,5,6,8,10,13,14,15,16,24,27,34,38,41,42,46,52,53,58,71
237,2025033,2,8,11,12,14,15,20,22,23,43,45,53,61,62,63,64,69,73,76,78
238,2025032,4,10,11,16,17,25,27,31,32,37,38,41,51,54,61,66,67,73,77,80
239,2025031,3,4,9,13,14,15,27,28,32,33,36,37,46,51,60,61,66,71,75,78
240,2025030,4,10,13,18,20,23,26,30,33,34,37,40,45,46,49,51,57,63,71,73
241,2025029,4,5,6,7,12,21,40,49,51,52,53,54,59,61,62,65,75,76,77,79
242,2025028,5,9,11,13,25,27,28,29,38,44,50,51,52,53,55,59,63,66,71,73
243,2025027,1,9,10,12,14,16,19,24,28,35,38,40,49,53,56,58,64,67,71,77
244,2025026,4,11,12,13,17,20,23,33,40,43,44,50,53,60,63,65,67,68,72,80
245,2025025,2,3,5,7,12,13,23,26,29,39,43,44,48,60,62,63,64,74,77,79
246,2025024,1,7,10,12,16,21,25,26,29,30,33,34,36,37,41,53,71,72,73,75
247,2025023,5,6,7,8,13,17,21,25,32,33,36,41,46,55,59,62,68,70,74,76
248,2025022,3,6,8,11,14,15,20,25,26,28,39,49,54,56,57,61,63,66,76,77
249,2025021,6,8,10,11,13,14,27,30,32,33,35,38,47,50,52,56,62,65,71,76
250,2025020,1,2,5,6,11,14,21,26,37,40,41,43,45,50,57,60,61,67,73,78
251,2025019,2,3,12,16,18,21,24,33,45,46,50,53,55,62,68,70,71,72,79,80
252,2025018,5,9,13,22,23,24,28,31,33,34,37,45,46,48,50,52,55,63,72,76
253,2025017,1,3,7,13,18,27,31,32,37,43,47,48,51,52,53,61,64,65,73,80
254,2025016,1,2,11,15,16,19,23,32,43,45,46,48,53,55,57,62,68,77,79,80
255,2025015,1,3,10,11,12,16,23,38,41,52,53,56,58,61,62,71,72,76,78,80
256,2025014,6,17,20,24,26,30,32,34,40,42,45,46,51,54,57,58,59,63,71,76
257,2025013,1,3,4,6,11,16,18,21,35,38,42,46,49,53,63,64,65,69,72,75
258,2025012,2,4,6,8,10,13,19,31,33,35,38,45,50,51,59,63,65,66,67,74
259,2025011,2,3,5,21,23,24,25,30,34,35,45,47,50,57,58,61,70,75,77,79
260,2025010,9,10,20,24,27,41,45,46,48,50,53,56,64,65,66,67,70,73,74,76
261,2025009,11,15,26,27,28,34,40,43,46,47,48,52,56,58,60,62,67,74,75,79
262,2025008,1,2,7,8,10,13,15,26,47,54,55,56,57,60,65,71,75,76,77,79
263,2025007,1,2,18,25,27,29,35,39,43,51,53,54,59,61,67,69,71,74,75,79
264,2025006,2,8,12,19,24,25,31,32,33,35,43,47,48,52,56,59,60,66,67,79
265,2025005,9,11,12,14,19,20,22,27,31,33,36,37,45,49,55,57,60,64,79,80
266,2025004,4,7,9,12,16,26,27,35,36,43,46,50,53,65,67,68,73,75,77,80
267,2025003,3,6,10,12,15,22,24,26,30,32,37,38,43,57,58,60,62,69,70,79
268,2025002,2,5,6,9,13,24,26,27,33,35,45,46,55,56,64,65,66,69,73,78
269,2025001,2,15,20,22,32,34,35,42,44,46,50,54,55,64,68,71,74,75,77,79
270,2024352,4,6,12,18,26,30,31,34,51,55,56,59,65,66,68,73,74,77,78,79
271,2024351,7,9,12,15,16,28,29,31,33,34,35,36,37,38,43,44,64,69,76,79
272,2024350,1,3,8,9,13,32,38,40,41,50,51,57,59,60,65,67,69,72,75,76
273,2024349,2,3,6,22,26,27,28,32,33,35,36,42,46,49,63,67,69,71,73,78
274,2024348,4,12,14,16,20,21,29,31,36,43,44,51,57,59,64,65,72,76,78,80
275,2024347,3,5,10,15,18,19,20,29,32,33,41,42,44,47,55,59,63,71,76,77
276,2024346,4,7,10,16,19,20,23,27,38,39,40,43,51,52,55,56,62,72,77,79
277,2024345,13,23,26,34,38,39,40,43,46,48,57,58,59,64,67,70,72,73,78,80
278,2024344,2,4,7,12,19,23,25,31,33,40,42,43,56,57,58,60,63,64,73,75
279,2024343,7,22,27,28,31,34,37,42,44,45,46,49,54,57,66,67,72,76,78,80
280,2024342,4,7,9,13,15,17,25,37,39,54,58,59,60,65,67,71,72,74,75,80
281,2024341,1,2,9,10,15,28,29,31,32,42,44,50,56,58,61,62,71,75,77,78
282,2024340,2,3,7,11,18,22,25,27,38,40,46,48,57,59,60,63,64,69,76,79
283,2024339,1,2,5,7,10,12,13,16,25,32,35,38,42,50,61,64,67,72,76,80
284,2024338,1,2,4,5,7,8,9,12,14,15,19,20,25,31,41,52,56,69,71,77
285,2024337,14,15,17,22,26,32,37,42,49,50,59,68,70,71,73,74,75,76,77,79
286,2024336,8,12,15,16,17,19,21,27,32,41,44,45,49,54,58,59,61,66,71,74
287,2024335,11,13,14,22,23,24,26,32,34,44,50,53,56,58,61,63,67,71,77,79
288,2024334,2,10,12,14,20,23,24,44,52,53,57,58,59,60,68,69,70,72,73,78
289,2024333,3,5,10,12,13,18,23,27,30,33,48,49,54,56,60,65,67,71,72,77
290,2024332,1,8,10,13,21,30,35,38,41,46,47,49,51,61,63,64,65,66,69,80
291,2024331,3,4,8,14,21,22,23,35,39,43,46,49,55,58,60,69,72,78,79,80
292,2024330,2,3,6,12,17,23,26,29,30,46,48,49,60,61,62,67,70,71,73,74
293,2024329,7,9,15,16,17,20,22,25,37,39,48,58,59,67,69,70,72,74,79,80
294,2024328,2,6,8,15,16,18,19,23,30,39,40,43,47,50,58,69,71,72,76,80
295,2024327,5,6,11,15,16,18,20,29,32,34,36,46,52,55,57,59,65,69,72,79
296,2024326,4,6,8,14,15,17,39,46,48,50,52,54,56,58,63,66,71,73,74,80
297,2024325,2,3,6,13,16,23,26,36,42,44,46,52,53,54,60,61,64,69,73,79
298,2024324,2,6,8,16,20,22,26,28,31,33,39,42,45,53,57,62,65,69,72,80
